"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","232","Get Pet By ID","","Sat Aug 10 20:15:21 TRT 2024","passed","Sat Aug 10 20:15:21 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Get Pet By ID"
"","200","Delete Pet By ID","","Sat Aug 10 20:15:23 TRT 2024","passed","Sat Aug 10 20:15:23 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Delete Pet By ID"
"","201","Check Inventory","","Sat Aug 10 20:15:29 TRT 2024","passed","Sat Aug 10 20:15:29 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Check Inventory"
"","179","Update User","","Sat Aug 10 20:15:30 TRT 2024","passed","Sat Aug 10 20:15:30 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Update User"
"","235","Add New Pet","","Sat Aug 10 20:15:28 TRT 2024","passed","Sat Aug 10 20:15:29 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Add New Pet"
"","400","Add New Pet","","Sat Aug 10 20:15:21 TRT 2024","passed","Sat Aug 10 20:15:21 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Add New Pet"
"","210","Place Order","","Sat Aug 10 20:15:29 TRT 2024","passed","Sat Aug 10 20:15:30 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Place Order"
"","1095","Find By Status","","Sat Aug 10 20:15:19 TRT 2024","passed","Sat Aug 10 20:15:21 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Find By Status"
"","200","Update User","","Sat Aug 10 20:15:22 TRT 2024","passed","Sat Aug 10 20:15:23 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Update User"
"","189","Update Pet By ID","","Sat Aug 10 20:15:22 TRT 2024","passed","Sat Aug 10 20:15:22 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Update Pet By ID"
"","188","Delete Order By ID","","Sat Aug 10 20:15:23 TRT 2024","passed","Sat Aug 10 20:15:23 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Delete Order By ID"
"","185","Delete User By Username","","Sat Aug 10 20:15:23 TRT 2024","passed","Sat Aug 10 20:15:23 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Delete User By Username"
"","202","Create User","","Sat Aug 10 20:15:30 TRT 2024","passed","Sat Aug 10 20:15:30 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Create User"
"","205","Get Pet By ID","","Sat Aug 10 20:15:29 TRT 2024","passed","Sat Aug 10 20:15:29 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Get Pet By ID"
"","200","Update Pet By ID","","Sat Aug 10 20:15:29 TRT 2024","passed","Sat Aug 10 20:15:29 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Update Pet By ID"
"","199","Update Existing Pet","","Sat Aug 10 20:15:22 TRT 2024","passed","Sat Aug 10 20:15:22 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Update Existing Pet"
"","191","Delete User By Username","","Sat Aug 10 20:15:31 TRT 2024","passed","Sat Aug 10 20:15:31 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Delete User By Username"
"","207","Check Inventory","","Sat Aug 10 20:15:21 TRT 2024","passed","Sat Aug 10 20:15:22 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Check Inventory"
"","197","Create User","","Sat Aug 10 20:15:22 TRT 2024","passed","Sat Aug 10 20:15:22 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Create User"
"","174","Delete Order By ID","","Sat Aug 10 20:15:30 TRT 2024","passed","Sat Aug 10 20:15:31 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Delete Order By ID"
"","180","Delete Pet By ID","","Sat Aug 10 20:15:30 TRT 2024","passed","Sat Aug 10 20:15:30 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Delete Pet By ID"
"","1434","Find By Status","","Sat Aug 10 20:15:27 TRT 2024","passed","Sat Aug 10 20:15:28 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Find By Status"
"","196","Place Order","","Sat Aug 10 20:15:22 TRT 2024","passed","Sat Aug 10 20:15:22 TRT 2024","","Petstore Negative Tests","Petstore Negative Tests","Place Order"
"","199","Update Existing Pet","","Sat Aug 10 20:15:30 TRT 2024","passed","Sat Aug 10 20:15:30 TRT 2024","","Petstore Positive Tests","Petstore Positive Tests","Update Existing Pet"
